_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,age,are_you_interested_in_knowing_the_realtime_waiting_time_before_serviced_in_a_restaurantbankshopping_mall,busdelay,gasprice,gender,gym,infocredit,infopay,library,maxcount,noise,parkspace,restline,resttable,resttime,smartphone,sun,trafficjam
520297520,8/7/2014 00:48:45,false,1346955682,8/7/2014 00:48:16,clixsense,1.0,6330991,USA,NJ,Belvidere,69.141.104.97,35-44 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know whether the price is below average or above average",Male,"Yes, I would like to know whether the number of unoccupied facilities is none (0), few (1-5), moderate (5-10) or plenty (>10)",Yes,Yes,"Yes, I would like to know whether the number of available power sockets is none (0), few (1-5), moderate (5-10) or plenty (>10)",30,"Yes, I would like to know the exact noise level in dB (e.g., 42 dB)","Yes, I would like to know the exact number of available parking spaces","Yes, I would like to know the exact number of people waiting in the line (e.g., 11 people)","Yes, I would like to know the exact number of available tables","Yes, I would like to know the exact waiting time in terms of minutes (e.g., 8 min)",,East,"Yes, I would like to know the exact number of vehicles (e.g., 214) moving slowly along a road"
520297520,8/7/2014 00:49:06,false,1346955817,8/7/2014 00:48:00,clixsense,0.75,6416922,USA,NE,Lincoln,76.84.75.45,25-34 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know whether the price is below average or above average",Female,"Yes, I would like to know whether the number of unoccupied facilities is none (0), few (1-5), moderate (5-10) or plenty (>10)",Yes,Yes,"Yes, I would like to know whether the number of available power sockets is none (0), few (1-5), moderate (5-10) or plenty (>10)",5,"Yes, I would like to know whether the noise level is low, medium or high","Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)","Yes, I would like to know whether the waiting line is none (0 people), short (1-5 people), medium (5-10 people) or long (>10 people)","Yes, I would like to know whether the number of available tables is none (0), few (1-3), moderate (3-6) or plenty (>6)","Yes, I would like to know whether the waiting time is none (0 min), short (1-5 min), medium (5-10 min) or long (>10 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:49:50,false,1346956164,8/7/2014 00:48:54,fusioncash,0.7778,28648086,USA,LA,Monroe,75.65.24.221,25-34 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know whether the price is below average or above average",Female,"Yes, I would like to know the exact number of unoccupied facilities",Yes,Yes,"Yes, I would like to know whether the number of available power sockets is none (0), few (1-5), moderate (5-10) or plenty (>10)",10,"Yes, I would like to know whether the noise level is low, medium or high","Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)","Yes, I would like to know whether the waiting line is none (0 people), short (1-5 people), medium (5-10 people) or long (>10 people)","Yes, I would like to know whether the number of available tables is none (0), few (1-3), moderate (3-6) or plenty (>6)","Yes, I would like to know whether the waiting time is none (0 min), short (1-5 min), medium (5-10 min) or long (>10 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:50:06,false,1346956269,8/7/2014 00:46:53,clixsense,0.6889,26220338,USA,MA,Stoughton,108.20.113.246,25-34 years old,,"Yes, I would like to know the exact delay time in terms of minutes (e.g., 12 min)","Yes, I would like to know the exact price in terms of dollars",Male,"Yes, I would like to know whether the number of unoccupied facilities is none (0), few (1-5), moderate (5-10) or plenty (>10)",Yes,Yes,"Yes, I would like to know whether the number of available power sockets is none (0), few (1-5), moderate (5-10) or plenty (>10)",30,"Yes, I would like to know whether the noise level is low, medium or high","Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)","Yes, I would like to know the exact number of people waiting in the line (e.g., 11 people)","Yes, I would like to know whether the number of available tables is none (0), few (1-3), moderate (3-6) or plenty (>6)","Yes, I would like to know the exact waiting time in terms of minutes (e.g., 8 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:50:04,false,1346956274,8/7/2014 00:47:58,memolink,0.6667,6556053,USA,IL,Zion,76.245.204.32,35-44 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know the exact price in terms of dollars",Female,"Yes, I would like to know whether the number of unoccupied facilities is none (0), few (1-5), moderate (5-10) or plenty (>10)",No,Yes,No,20,"Yes, I would like to know whether the noise level is low, medium or high","Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)","Yes, I would like to know whether the waiting line is none (0 people), short (1-5 people), medium (5-10 people) or long (>10 people)","Yes, I would like to know whether the number of available tables is none (0), few (1-3), moderate (3-6) or plenty (>6)","Yes, I would like to know whether the waiting time is none (0 min), short (1-5 min), medium (5-10 min) or long (>10 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:50:13,false,1346956337,8/7/2014 00:48:41,clixsense,0.6667,14353703,USA,IA,Cedar Rapids,173.18.40.82,25-34 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know the exact price in terms of dollars",Female,"Yes, I would like to know whether the number of unoccupied facilities is none (0), few (1-5), moderate (5-10) or plenty (>10)",Yes,Yes,No,20,No,"Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)","Yes, I would like to know whether the waiting line is none (0 people), short (1-5 people), medium (5-10 people) or long (>10 people)","Yes, I would like to know whether the number of available tables is none (0), few (1-3), moderate (3-6) or plenty (>6)","Yes, I would like to know whether the waiting time is none (0 min), short (1-5 min), medium (5-10 min) or long (>10 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:50:31,false,1346956476,8/7/2014 00:45:52,superrewards,0.5635,22924597,USA,AL,Albertville,97.81.247.76,18-24 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know whether the price is below average or above average",Female,No,Yes,Yes,No,10,"Yes, I would like to know whether the noise level is low, medium or high","Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)",No,No,No,,East,No
520297520,8/7/2014 00:52:26,false,1346957363,8/7/2014 00:50:24,clixsense,0.4583,6535850,USA,LA,New Orleans,99.118.218.88,45-54 years old,,"Yes, I would like to know the exact delay time in terms of minutes (e.g., 12 min)","Yes, I would like to know whether the price is below average or above average",Female,No,No,No,No,20,No,"Yes, I would like to know the exact number of available parking spaces",No,No,No,,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:56:44,false,1346959114,8/7/2014 00:55:32,neodev,0.5185,25829819,USA,VA,Norfolk,72.64.32.142,65-74 years old,,"Yes, I would like to know the exact delay time in terms of minutes (e.g., 12 min)","Yes, I would like to know the exact price in terms of dollars",Male,"Yes, I would like to know the exact number of unoccupied facilities",Yes,Yes,"Yes, I would like to know the exact number of available power sockets",20,"Yes, I would like to know whether the noise level is low, medium or high","Yes, I would like to know the exact number of available parking spaces","Yes, I would like to know the exact number of people waiting in the line (e.g., 11 people)","Yes, I would like to know the exact number of available tables","Yes, I would like to know the exact waiting time in terms of minutes (e.g., 8 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
520297520,8/7/2014 00:56:49,false,1346959175,8/7/2014 00:53:07,prodege,0.537,3247219,USA,OR,Salem,98.232.149.126,45-54 years old,,"Yes, I would like to know whether the delay time is none (0 min), short (1-5 min), medium (5-10 min) or long (> 10 min)","Yes, I would like to know whether the price is below average or above average",Female,"Yes, I would like to know whether the number of unoccupied facilities is none (0), few (1-5), moderate (5-10) or plenty (>10)",No,No,"Yes, I would like to know whether the number of available power sockets is none (0), few (1-5), moderate (5-10) or plenty (>10)",10,No,"Yes, I would like to know whether the number of available parking spaces is none (0), few (1-5), moderate (5-10) or plenty (>10)","Yes, I would like to know whether the waiting line is none (0 people), short (1-5 people), medium (5-10 people) or long (>10 people)","Yes, I would like to know whether the number of available tables is none (0), few (1-3), moderate (3-6) or plenty (>6)","Yes, I would like to know whether the waiting time is none (0 min), short (1-5 min), medium (5-10 min) or long (>10 min)",,East,"Yes, I would like to know whether the status of traffic jam is light, moderate  or heavy"
