_unit_id,_created_at,_golden,_canary,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,category,category_gold,id,image_url
409268003,2/6/2014 01:36:12,true,,1192989911,,2/6/2014 01:36:03,false,clixsense,0.8333,14555684,USA,CA,Laguna Niguel,68.231.222.171,category1,category1,image1,https://dl.dropboxusercontent.com/u/82816032/img_AMT/01.jpg
409268003,2/6/2014 01:40:46,true,,1192994145,,2/6/2014 01:40:18,false,instagc,1.0,17759090,USA,ME,Caribou,24.31.135.140,category1,category1,image1,https://dl.dropboxusercontent.com/u/82816032/img_AMT/01.jpg
409268003,2/6/2014 01:43:58,true,,1192996908,,2/6/2014 01:43:43,false,prodege,0.8333,9098679,USA,MI,East Lansing,23.28.16.113,category1,category1,image1,https://dl.dropboxusercontent.com/u/82816032/img_AMT/01.jpg
409268003,2/6/2014 01:45:10,true,,1192997971,,2/6/2014 01:45:05,false,elite,1.0,22389428,USA,CA,Roseville,24.7.189.182,category1,category1,image1,https://dl.dropboxusercontent.com/u/82816032/img_AMT/01.jpg
409268003,2/6/2014 01:45:44,true,,1192998408,,2/6/2014 01:43:46,false,clixsense,1.0,17037852,GBR,I2,Manchester,89.240.28.227,category1,category1,image1,https://dl.dropboxusercontent.com/u/82816032/img_AMT/01.jpg
409268004,2/6/2014 01:36:50,true,,1192990472,,2/6/2014 01:36:40,false,clixsense,0.8333,14555684,USA,CA,Laguna Niguel,68.231.222.171,category1,category1,image2,https://dl.dropboxusercontent.com/u/82816032/img_AMT/02.jpg
409268004,2/6/2014 01:37:16,true,,1192990975,true,2/6/2014 01:37:00,false,clixsense,0.8333,14555684,USA,CA,Laguna Niguel,68.231.222.171,category2,category1,image2,https://dl.dropboxusercontent.com/u/82816032/img_AMT/02.jpg
409268004,2/6/2014 01:44:03,true,,1192996974,,2/6/2014 01:43:42,false,instagc,1.0,17759090,USA,ME,Caribou,24.31.135.140,category1,category1,image2,https://dl.dropboxusercontent.com/u/82816032/img_AMT/02.jpg
409268004,2/6/2014 01:44:47,true,,1192997624,,2/6/2014 01:44:27,false,prodege,0.8333,9098679,USA,MI,East Lansing,23.28.16.113,category1,category1,image2,https://dl.dropboxusercontent.com/u/82816032/img_AMT/02.jpg
409268004,2/6/2014 02:01:53,true,,1193012188,,2/6/2014 01:58:55,false,clixsense,1.0,17037852,GBR,I2,Manchester,89.240.28.227,category1,category1,image2,https://dl.dropboxusercontent.com/u/82816032/img_AMT/02.jpg
409268004,2/6/2014 02:11:24,true,,1193020819,,2/6/2014 02:11:08,false,elite,1.0,22389428,USA,CA,Roseville,24.7.189.182,category1,category1,image2,https://dl.dropboxusercontent.com/u/82816032/img_AMT/02.jpg
409268005,2/6/2014 01:34:20,false,,1192988229,,2/6/2014 01:33:51,false,clixsense,0.8333,14555684,USA,CA,Laguna Niguel,68.231.222.171,category2,,image3,https://dl.dropboxusercontent.com/u/82816032/img_AMT/03.jpg
409268005,2/6/2014 01:34:40,false,,1192988508,,2/6/2014 01:33:59,false,clixsense,1.0,17037852,GBR,I2,Manchester,89.240.28.227,category2,,image3,https://dl.dropboxusercontent.com/u/82816032/img_AMT/03.jpg
409268005,2/6/2014 01:42:27,false,,1192995549,,2/6/2014 01:42:07,false,prodege,0.8333,9098679,USA,MI,East Lansing,23.28.16.113,category2,,image3,https://dl.dropboxusercontent.com/u/82816032/img_AMT/03.jpg
409268005,2/6/2014 01:45:48,false,,1192998481,,2/6/2014 01:45:17,false,instagc,1.0,17759090,USA,ME,Caribou,24.31.135.140,category2,,image3,https://dl.dropboxusercontent.com/u/82816032/img_AMT/03.jpg
409268006,2/6/2014 01:33:58,false,,1192987941,,2/6/2014 01:31:00,false,clixsense,1.0,17037852,GBR,I2,Manchester,89.240.28.227,category1,,image4,https://dl.dropboxusercontent.com/u/82816032/img_AMT/04.jpg
409268006,2/6/2014 01:35:52,false,,1192989592,,2/6/2014 01:35:44,false,clixsense,0.8333,14555684,USA,CA,Laguna Niguel,68.231.222.171,category1,,image4,https://dl.dropboxusercontent.com/u/82816032/img_AMT/04.jpg
409268006,2/6/2014 01:44:07,false,,1192997071,,2/6/2014 01:43:59,false,prodege,0.8333,9098679,USA,MI,East Lansing,23.28.16.113,category1,,image4,https://dl.dropboxusercontent.com/u/82816032/img_AMT/04.jpg
409268007,2/6/2014 01:33:35,false,,1192987642,,2/6/2014 01:33:20,false,clixsense,0.8333,14555684,USA,CA,Laguna Niguel,68.231.222.171,category1,,image5,https://dl.dropboxusercontent.com/u/82816032/img_AMT/05.jpg
409268007,2/6/2014 01:35:24,false,,1192989189,,2/6/2014 01:34:41,false,clixsense,1.0,17037852,GBR,I2,Manchester,89.240.28.227,category2,,image5,https://dl.dropboxusercontent.com/u/82816032/img_AMT/05.jpg
409268007,2/6/2014 01:40:18,false,,1192993608,,2/6/2014 01:39:42,false,instagc,1.0,17759090,USA,ME,Caribou,24.31.135.140,category1,,image5,https://dl.dropboxusercontent.com/u/82816032/img_AMT/05.jpg
