_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,category,category_gold,id,image_url
685961427,3/7/2015 23:34,FALSE,1583296480,,3/7/2015 23:32,FALSE,neodev,1,25638993,USA,FL,Miami,108.76.254.42,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/7/2015 23:34,FALSE,1583296782,,3/7/2015 23:34,FALSE,bitcoinget,0.8333,31256687,USA,NY,Brooklyn,47.20.249.233,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/7/2015 23:47,FALSE,1583301134,,3/7/2015 23:47,FALSE,instagc,1,13581319,USA,IL,Mount Vernon,66.232.166.86,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 0:01,FALSE,1583307468,,3/8/2015 0:00,FALSE,neodev,0.75,31846894,USA,,,104.131.92.125,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 0:04,FALSE,1583309005,,3/8/2015 0:04,FALSE,neodev,1,31079027,USA,CA,Torrance,66.171.229.85,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 0:22,FALSE,1583318617,,3/8/2015 0:21,FALSE,clixsense,1,21603473,USA,MI,Flint,68.62.11.235,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 0:29,FALSE,1583325058,,3/8/2015 0:28,FALSE,bitcoinget,0.8333,30501901,USA,,,104.186.41.71,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 1:06,FALSE,1583341100,,3/8/2015 1:05,FALSE,instagc,1,21507445,USA,VA,Richmond,76.27.162.106,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 1:11,FALSE,1583343223,,3/8/2015 1:10,FALSE,neodev,0.9,31410417,USA,VA,Manassas,207.244.77.1,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 1:13,FALSE,1583344243,,3/8/2015 1:13,FALSE,instagc,1,27914150,USA,TX,Dallas,72.190.59.224,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 1:28,FALSE,1583349746,,3/8/2015 1:27,FALSE,clixsense,1,20512953,USA,CA,Fairfield,76.232.182.5,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 2:17,FALSE,1583365504,,3/8/2015 2:17,FALSE,neodev,0.6667,31659226,USA,NY,Rochester,192.254.77.56,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 2:28,FALSE,1583369176,,3/8/2015 2:28,FALSE,prodege,1,2287770,USA,OH,Dayton,71.72.157.192,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 3:09,FALSE,1583383248,,3/8/2015 3:09,FALSE,clixsense,1,29339019,USA,TN,Knoxville,24.96.84.188,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 3:10,FALSE,1583383488,,3/8/2015 3:10,FALSE,cashcrate,0.8333,17837773,USA,TX,Lindale,74.192.80.41,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 3:12,FALSE,1583384451,,3/8/2015 3:12,FALSE,clixsense,1,11106820,USA,MA,Taunton,108.49.130.73,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 3:38,FALSE,1583393210,,3/8/2015 3:38,FALSE,cotter,0.8333,30606402,USA,NJ,Wildwood,50.166.45.232,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 3:50,FALSE,1583397303,,3/8/2015 3:50,FALSE,cotter,1,573245,USA,NY,New York,96.224.1.13,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 3:59,FALSE,1583400767,,3/8/2015 3:56,FALSE,instagc,1,30326470,USA,CA,Santee,99.44.37.73,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 4:03,FALSE,1583402372,,3/8/2015 4:03,FALSE,clixsense,1,7270684,USA,NY,Jackson Heights,69.206.230.73,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 4:12,FALSE,1583405913,,3/8/2015 4:11,FALSE,neodev,1,14561763,USA,CA,Laguna Niguel,68.231.222.171,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961427,3/8/2015 4:16,FALSE,1583407524,,3/8/2015 4:16,FALSE,clixsense,0.875,30544555,USA,TX,Longview,208.180.9.42,category1,,rest01,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_01.jpg
685961428,3/8/2015 12:15,FALSE,1583512928,,3/8/2015 12:15,FALSE,neodev,0.8571,31608218,USA,TX,San Antonio,66.135.45.84,category4,,rest02,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_02.jpg
685961428,3/8/2015 12:17,FALSE,1583513117,,3/8/2015 12:17,FALSE,clixsense,0.8333,10319610,USA,OH,Berea,75.118.61.247,category4,,rest02,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_02.jpg
685961428,3/8/2015 13:41,FALSE,1583534435,,3/8/2015 13:40,FALSE,clixsense,0.875,30544555,USA,TX,Plano,70.196.2.235,category4,,rest02,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_02.jpg
685961428,3/8/2015 13:41,FALSE,1583534445,,3/8/2015 13:40,FALSE,neodev,1,31463401,USA,CA,Laguna Niguel,216.177.129.99,category4,,rest02,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_02.jpg
685961428,3/8/2015 14:56,FALSE,1583551631,,3/8/2015 14:55,FALSE,elite,1,30609759,USA,,,155.94.188.178,category4,,rest02,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_02.jpg
685961429,3/8/2015 4:16,FALSE,1583407536,,3/8/2015 4:16,FALSE,neodev,1,14561763,USA,CA,Laguna Niguel,68.231.222.171,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 4:21,FALSE,1583408846,,3/8/2015 4:20,FALSE,instagc,1,30326470,USA,CA,Santee,99.44.37.73,category1,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 4:22,FALSE,1583409173,,3/8/2015 4:21,FALSE,clixsense,0.875,30544555,USA,TX,Longview,208.180.9.42,category1,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 5:27,FALSE,1583428687,,3/8/2015 5:27,FALSE,bitcoinget,0.8333,21743413,USA,WA,Lynnwood,67.183.5.219,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 5:35,FALSE,1583430761,,3/8/2015 5:35,FALSE,clixsense,0.6667,30475246,USA,,,149.255.32.234,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 5:37,FALSE,1583431379,,3/8/2015 5:37,FALSE,bitcoinget,1,31916489,USA,VA,Lynchburg,76.104.12.135,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 5:50,FALSE,1583434310,,3/8/2015 5:48,FALSE,neodev,1,31079027,USA,CA,San Jose,50.118.172.235,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 6:04,FALSE,1583438038,,3/8/2015 6:01,FALSE,neodev,1,31712707,USA,IL,Arlington Heights,69.65.47.125,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 6:16,FALSE,1583442214,,3/8/2015 6:15,FALSE,instagc,1,23962923,USA,CA,Van Nuys,172.248.184.29,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 6:18,FALSE,1583442573,,3/8/2015 6:18,FALSE,cashcrate,1,28011790,USA,WV,Saint Albans,50.106.183.243,category4,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 6:48,FALSE,1583449744,,3/8/2015 6:47,FALSE,neodev,0.9,31410417,USA,DE,Wilmington,199.115.115.213,category4,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 6:54,FALSE,1583451304,,3/8/2015 6:53,FALSE,clixsense,0.8333,9289735,USA,IL,Chicago,69.210.248.71,category4,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 9:11,FALSE,1583481244,,3/8/2015 9:10,FALSE,sendearnings,1,2037537,USA,,,104.172.249.138,category1,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 9:26,FALSE,1583484076,,3/8/2015 9:26,FALSE,cashcrate,1,30457371,USA,NY,Watertown,66.67.91.242,category1,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 10:42,FALSE,1583499146,,3/8/2015 10:41,FALSE,clixsense,0.8333,6338666,USA,MN,Lakeville,68.117.51.33,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 11:43,FALSE,1583508699,,3/8/2015 11:43,FALSE,prodege,1,6309240,USA,CA,San Diego,50.113.93.215,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 12:02,FALSE,1583511130,,3/8/2015 12:01,FALSE,neodev,0.8571,31608218,USA,AZ,Chandler,68.226.105.199,category3,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 12:13,FALSE,1583512615,,3/8/2015 12:13,FALSE,clixsense,0.8333,10319610,USA,OH,Berea,75.118.61.247,category4,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 13:36,FALSE,1583533692,,3/8/2015 13:36,FALSE,neodev,1,31463401,USA,CA,Laguna Niguel,216.177.129.99,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961429,3/8/2015 14:06,FALSE,1583539984,,3/8/2015 14:02,FALSE,elite,1,30609759,USA,,,155.94.188.178,category2,,rest03,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_03.jpg
685961430,3/8/2015 0:18,FALSE,1583315552,,3/8/2015 0:17,FALSE,neodev,0.75,31846894,USA,,,104.131.92.125,category1,,rest04,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_04.jpg
685961430,3/8/2015 3:59,FALSE,1583400785,,3/8/2015 3:59,FALSE,instagc,1,30398579,USA,MA,Winchendon,73.38.174.116,category1,,rest04,https://dl.dropboxusercontent.com/u/82816032/test_rest_mul/img_04.jpg
