_unit_id,_created_at,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_many_people_are_waiting_in_line,the_difficulty_of_this_task_is,id,image_url
552964563,9/17/2014 23:00:05,1398078689,9/17/2014 22:59:09,neodev,0.3484,22098386,USA,NY,Greenwich,67.248.253.125,15,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/17/2014 23:21:04,1398099611,9/17/2014 23:16:19,points4rewards,0.5588,28703583,USA,"","",97.73.81.91,24,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/17/2014 23:24:22,1398102454,9/17/2014 23:24:04,neodev,0.7637,21232280,USA,CA,San Francisco,167.56.129.226,20,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/17/2014 23:38:59,1398116596,9/17/2014 23:37:48,bitcoinget,0.5704,27316326,USA,CA,San Francisco,47.20.249.233,26,Hard,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 00:22:53,1398160181,9/18/2014 00:22:05,clixsense,0.4796,29490692,USA,NY,Holley,66.66.87.109,15,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 00:31:03,1398168758,9/18/2014 00:27:48,instagc,0.5285,22501383,USA,MO,Lone Jack,71.1.125.187,17,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 00:56:32,1398194582,9/18/2014 00:55:18,instagc,0.5628,28048823,USA,"","",184.14.112.194,17,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 01:05:57,1398203596,9/18/2014 01:05:22,elite,0.5028,29013549,USA,CA,San Francisco,45.64.225.80,15,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 01:48:29,1398242271,9/18/2014 01:47:29,clixsense,0.5492,9289735,USA,IL,Chicago,69.210.248.100,20,Hard,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 01:48:33,1398242343,9/18/2014 01:48:06,instagc,0.3909,25990856,USA,NV,Las Vegas,68.108.98.78,10,Hard,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 01:54:45,1398247469,9/18/2014 01:53:52,neodev,0.3671,25638993,USA,FL,Miami,108.76.254.42,18,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 01:55:47,1398248352,9/18/2014 01:55:21,instagc,0.4603,25607301,USA,PA,Kittanning,98.17.21.104,10,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 02:01:15,1398252920,9/18/2014 01:59:23,meprizescf,0.551,20411346,USA,TX,Sugar Land,71.30.184.46,55,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 02:07:27,1398257554,9/18/2014 02:05:41,neodev,0.515,12153090,USA,IL,Lake Zurich,68.60.238.241,14,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 02:53:05,1398299782,9/18/2014 02:52:26,meprizescf,0.5168,19539728,USA,"","",71.240.215.32,18,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
552964563,9/18/2014 03:53:29,1398346290,9/18/2014 03:52:35,neodev,0.5553,11563866,USA,IL,Vernon Hills,24.13.205.245,13,Normal,count01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/count/count (1).jpg
