_unit_id,_created_at,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_many_facilities_of_interest_tables_in_a_restaurant_seats_in_a_lecture_hall_or_gym_equipment_in_a_weighing_room_are_availableunoccupied,the_difficulty_of_this_task_is,id,image_url
556053837,9/23/2014 00:14:22,1401776409,9/23/2014 00:12:27,instagc,0.85,22501383,USA,MO,Lone Jack,71.1.125.187,12,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 00:29:01,1401788968,9/23/2014 00:27:38,meprizescf,0.71,19539728,USA,"","",207.68.120.125,18,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 01:08:26,1401833819,9/23/2014 01:06:45,clixsense,0.5176,29490692,USA,NY,Holley,66.66.87.109,20,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 01:17:17,1401844996,9/23/2014 01:16:00,instagc,0.5267,15956655,USA,WI,Waukesha,107.204.251.3,30,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 01:31:59,1401863605,9/23/2014 01:29:57,clixsense,0.4744,6520576,USA,OH,West Chester,174.101.207.12,17,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 01:32:49,1401864598,9/23/2014 01:29:23,clixsense,0.5487,19495345,USA,AL,Gurley,74.237.180.157,25,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 02:13:38,1401907988,9/23/2014 02:13:12,neodev,0.3425,25638993,USA,FL,Miami,108.76.254.42,11,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 02:15:39,1401910219,9/23/2014 02:12:18,clixsense,0.3545,20532812,USA,CA,San Francisco,45.64.227.143,35,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 02:19:54,1401914316,9/23/2014 02:15:32,instagc,0.4817,22096649,USA,VA,Martinsville,24.125.227.12,45,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
556053837,9/23/2014 02:38:28,1401932869,9/23/2014 02:37:52,instagc,0.4907,25607301,USA,PA,Kittanning,71.31.183.79,30,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_imgs/percent/percent (1).jpg
