_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_many_birds_can_you_see_in_the_image,the_difficulty_of_this_task_is,id,image_url
697946436,4/2/2015 05:51:29,1604246296,4/2/2015 05:49:55,false,prodege,0.6319,1944668,USA,IN,Evansville,74.133.3.74,65,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 06:26:32,1604266084,4/2/2015 06:24:47,false,neodev,0.5828,31139768,USA,VA,Mclean,63.141.204.16,47,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 06:26:39,1604266147,4/2/2015 06:25:53,false,instagc,0.6597,13581319,USA,IL,Mount Vernon,66.232.166.86,25,Normal,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 06:40:06,1604271392,4/2/2015 06:37:24,false,elite,0.6354,32232485,USA,"","",38.95.109.35,50,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 08:38:12,1604313563,4/2/2015 08:37:11,false,bitcoinget,0.7632,21614812,USA,TX,Houston,73.212.76.209,56,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 08:42:36,1604315268,4/2/2015 08:40:31,false,clixsense,0.7103,20512953,USA,CA,Fairfield,76.232.182.5,40,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 09:16:08,1604327690,4/2/2015 09:14:09,false,bitcoinget,0.6947,29432542,USA,NC,Lexington,207.7.65.140,45,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 09:41:13,1604336416,4/2/2015 09:39:34,false,instagc,0.6266,21088425,USA,MI,Battle Creek,107.140.176.37,50,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 11:26:02,1604366587,4/2/2015 11:24:48,false,prodege,0.6228,2034278,USA,NJ,Toms River,24.0.73.168,67,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 11:31:40,1604368065,4/2/2015 11:30:12,false,clixsense,0.6411,30544555,USA,TX,Irving,70.196.15.203,60,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 11:39:57,1604369781,4/2/2015 11:38:38,false,meprizescf,0.6487,30341376,USA,CA,Saratoga,107.178.41.159,31,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 12:15:34,1604377128,4/2/2015 12:13:48,false,points4rewards,0.5805,28755767,USA,VA,Chester,68.57.118.32,54,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 12:31:41,1604381453,4/2/2015 12:30:35,false,clixsense,0.6745,10319610,USA,OH,Berea,75.118.61.247,40,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 12:42:31,1604384373,4/2/2015 12:41:05,false,instagc,0.7355,30652435,USA,FL,Fort Myers,98.208.133.253,80,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 13:21:15,1604395132,4/2/2015 13:18:48,false,clixsense,0.5819,31379566,USA,IL,Crest Hill,75.57.211.106,75,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 13:56:39,1604407921,4/2/2015 13:53:49,false,superrewards,0.6165,24796792,USA,NY,New York,72.80.63.240,67,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 13:59:46,1604408763,4/2/2015 13:59:23,false,bitcoinget,0.5327,31256687,USA,NY,Brooklyn,69.112.8.202,25,Easy,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 14:06:50,1604410619,4/2/2015 14:04:48,false,instagc,0.7033,16888714,USA,FL,Davenport,72.64.156.174,60,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 14:09:17,1604411119,4/2/2015 14:06:46,false,prodege,0.6778,2156923,USA,NY,Yonkers,67.81.125.108,45,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946436,4/2/2015 14:14:14,1604412507,4/2/2015 14:12:54,false,neodev,0.567,30703713,USA,CA,San Jose,198.23.103.206,31,Hard,bird001,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (1).jpg
697946437,4/2/2015 17:43:01,1604483627,4/2/2015 17:42:32,false,instagc,0.6379,27597031,USA,VA,Manassas,108.31.34.199,100,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 18:32:49,1604503571,4/2/2015 18:32:06,false,elite,0.5822,31956791,USA,PA,Freeport,72.23.204.146,100,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 18:33:36,1604503941,4/2/2015 18:32:27,false,neodev,0.567,30703713,USA,CA,San Jose,50.97.196.10,54,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 18:34:03,1604504131,4/2/2015 18:33:32,false,instagc,0.4999,29202665,USA,WA,Vancouver,98.246.71.204,40,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 19:09:55,1604541390,4/2/2015 19:06:44,false,coinworker,0.6349,23778084,USA,PA,State College,146.186.207.8,100,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 19:15:42,1604544491,4/2/2015 19:11:22,false,neodev,0.6091,31787360,USA,CA,Moreno Valley,76.94.99.196,237,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 19:36:48,1604555335,4/2/2015 19:35:53,false,extralunchmoney,0.5774,11369918,USA,TX,Houston,50.246.60.1,50,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 19:38:31,1604556321,4/2/2015 19:35:18,false,elite,0.6354,32232485,USA,"","",38.95.109.38,50,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 19:58:32,1604568025,4/2/2015 19:56:46,false,instagc,0.6196,30880172,USA,"","",166.176.57.64,100,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 20:06:35,1604571461,4/2/2015 20:05:02,false,neodev,0.4672,29507191,USA,NY,Hilton,66.66.96.233,100,Normal,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 20:09:55,1604572541,4/2/2015 20:08:21,false,clixsense,0.4784,6340330,USA,NY,Canajoharie,67.248.115.74,150,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
697946437,4/2/2015 20:23:48,1604577583,4/2/2015 20:23:09,false,clixsense,0.5899,22578215,USA,NJ,Pitman,173.61.36.5,62,Hard,bird002,https://dl.dropboxusercontent.com/u/82816032/test_birds/bird (2).jpg
