_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_many_vehicles_can_you_see_in_the_image,the_difficulty_of_this_task_is,id,image_url
698453612,4/3/2015 15:10:25,1604892669,4/3/2015 15:09:15,false,clixsense,0.7113,10390268,USA,NY,New Paltz,100.40.133.58,24,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 17:20:33,1604935204,4/3/2015 17:19:28,false,clixsense,0.6315,15464647,USA,WA,Vancouver,24.22.58.235,24,Easy,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 18:41:23,1604991577,4/3/2015 18:38:35,false,clixsense,0.5894,30130805,USA,MI,Wyandotte,63.141.18.150,24,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 18:51:53,1605014347,4/3/2015 18:48:54,false,clixsense,0.6062,6441338,USA,MO,Columbia,24.217.211.168,27,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 19:17:51,1605090495,4/3/2015 19:15:17,false,coinworker,0.5738,20231698,USA,GA,"",172.56.0.229,27,Easy,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 21:32:54,1605199817,4/3/2015 21:31:45,false,prodege,0.5636,22429517,USA,VA,Harrisonburg,209.145.88.147,26,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 22:24:54,1605220923,4/3/2015 22:23:41,false,instagc,0.5151,31130954,USA,IL,Schaumburg,99.141.245.53,25,Hard,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/3/2015 23:46:01,1605259078,4/3/2015 23:43:16,false,superrewards,0.506,28396934,USA,CA,San Francisco,99.108.138.235,25,Easy,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 00:25:37,1605276800,4/4/2015 00:24:09,false,instagc,0.5477,16888714,USA,FL,Davenport,72.64.156.174,24,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 01:02:29,1605293582,4/4/2015 01:00:15,false,clixsense,0.5633,9289735,USA,IL,Chicago,69.210.241.81,20,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 01:07:44,1605295911,4/4/2015 01:06:08,false,neodev,0.5129,29617776,USA,NJ,Bloomfield,108.50.130.133,29,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 02:11:07,1605319859,4/4/2015 02:10:03,false,clixsense,0.4667,14353703,USA,IA,Cedar Rapids,173.18.40.82,24,Easy,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 02:21:29,1605324534,4/4/2015 02:20:32,false,instagc,0.4939,31184650,USA,IA,Mason City,173.26.27.82,25,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 02:40:53,1605332451,4/4/2015 02:35:54,false,neodev,0.5513,20233773,USA,CA,San Jose,50.117.34.252,25,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 02:56:26,1605338845,4/4/2015 02:55:05,false,prodege,0.5762,32247825,USA,PA,Warren,207.255.244.59,26,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 03:30:18,1605349232,4/4/2015 03:28:12,false,clixsense,0.5902,11106820,USA,MA,Taunton,173.48.52.95,25,Hard,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 03:40:32,1605352403,4/4/2015 03:38:09,false,eup_slw,0.487,26634265,USA,TX,San Antonio,99.118.33.109,25,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 03:59:44,1605360065,4/4/2015 03:57:47,false,clixsense,0.5765,6563102,USA,OH,Cincinnati,208.102.24.112,30,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
698453612,4/4/2015 04:25:50,1605369084,4/4/2015 04:24:26,false,bitcoinget,0.5396,21743413,USA,WA,Lynnwood,67.183.5.219,28,Normal,car001,https://dl.dropboxusercontent.com/u/82816032/test_cars/car (1).jpg
