_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_long_is_the_line,how_long_is_the_waiting_time,id,image_url
461170988,5/9/2014 20:55:14,false,1262896223,5/9/2014 20:54:57,instagc,1,25569616,USA,OR,Coos Bay,71.94.239.74,long,15 minutes,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 21:07:40,false,1262906566,5/9/2014 21:05:34,probux,1,19105271,USA,"","",149.71.153.33,It isn't so long,Something like 20 minutes,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 21:21:51,false,1262917479,5/9/2014 21:21:37,instagc,1,22967869,USA,VA,Portsmouth,72.218.206.61,It's getting long,15 minutes,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 21:22:54,false,1262918312,5/9/2014 21:22:45,neodev,1,17484496,USA,AZ,Tempe,184.95.55.22,NA,NA,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 21:25:31,false,1262920492,5/9/2014 21:24:31,bitcoinget,1,22825112,USA,DE,Wilmington,173.49.120.86,20+ people,30 min,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 21:47:23,false,1262936511,5/9/2014 21:47:00,cashcrate,1,26404847,USA,HI,Waipahu,70.95.131.43,20,1 hours,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 22:11:51,false,1262952287,5/9/2014 22:11:27,cashcrate,1,22084320,USA,TX,Devine,108.218.193.27,long,one hour,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 22:28:23,false,1262962078,5/9/2014 22:26:13,instagc,1,26852700,USA,CA,San Francisco,99.112.70.66,"Very, very long.",A few hours.,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/9/2014 23:09:04,false,1262985920,5/9/2014 23:08:37,gptking,1,22893964,USA,IL,West Frankfort,173.25.210.76,long,long,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170988,5/10/2014 00:18:43,false,1263021539,5/10/2014 00:18:25,eup_slw,1,17973743,USA,"","",50.182.204.196,long as hell,long as hell,line01,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_01.jpg
461170989,5/9/2014 20:54:57,false,1262895980,5/9/2014 20:54:38,instagc,1.0,25569616,USA,OR,Coos Bay,71.94.239.74,medium,10 minutes,line02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_02.jpg
461170989,5/9/2014 21:22:28,false,1262918017,5/9/2014 21:21:52,instagc,1.0,22967869,USA,VA,Portsmouth,72.218.206.61,Long,20 minutes,line02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_02.jpg
461170989,5/9/2014 21:23:27,false,1262918837,5/9/2014 21:23:05,neodev,1.0,17484496,USA,AZ,Tempe,184.95.55.22,NA,NA,line02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_02.jpg
461170989,5/9/2014 21:27:03,false,1262921615,5/9/2014 21:25:31,bitcoinget,1.0,22825112,USA,DE,Wilmington,173.49.120.86,about 10 in each line,12 minutes,line02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_02.jpg
461170989,5/9/2014 21:47:49,false,1262936926,5/9/2014 21:47:24,cashcrate,1.0,26404847,USA,HI,Waipahu,70.95.131.43,8 people,45 minutes,line02,https://dl.dropboxusercontent.com/u/82816032/img_tasks/line_02.jpg
