_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,in_what_percentage_the_running_machines_are_available_unoccupied_in_the_image,the_difficulty_of_this_task_is,id,image_url
575325998,10/19/2014 04:04:38,1435309682,10/19/2014 04:03:54,false,instagc,0.7186,18871611,USA,IN,Noblesville,73.176.62.236,22,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 04:04:42,1435309720,10/19/2014 04:02:02,false,clixsense,0.4544,28655815,USA,VA,Manassas,207.244.77.16,25,Easy,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 04:06:15,1435310807,10/19/2014 04:04:40,false,instagc,0.5336,18386513,USA,TN,Knoxville,98.70.105.203,25,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 04:07:38,1435311657,10/19/2014 04:07:16,false,clixsense,0.7233,15464647,USA,WA,Vancouver,24.21.91.86,10,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 04:31:42,1435325189,10/19/2014 04:30:52,false,instagc,0.6315,19636746,USA,NY,Bloomfield,192.182.222.243,5,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 05:03:28,1435342467,10/19/2014 05:02:51,false,fusioncash,0.2835,22134305,USA,PA,York,50.149.9.75,50,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 05:11:42,1435346851,10/19/2014 05:09:56,false,instagc,0.5727,19378092,USA,PA,Lancaster,73.175.60.41,6,Hard,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 05:21:45,1435352678,10/19/2014 05:21:16,false,instagc,0.6603,21662777,USA,NM,Farmington,68.35.120.152,20,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 05:41:58,1435363404,10/19/2014 05:41:28,false,clixsense,0.6478,8108990,USA,WA,Bothell,50.46.244.34,60,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325998,10/19/2014 05:50:52,1435367842,10/19/2014 05:45:00,false,meprizescf,0.5421,20411346,USA,GA,Fitzgerald,71.28.47.46,20,Normal,percent01,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201307.jpg
575325999,10/19/2014 04:01:14,1435307043,10/19/2014 04:00:25,false,clixsense,0.4544,28655815,USA,VA,Manassas,207.244.77.16,20,Easy,percent02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201344.jpg
575325999,10/19/2014 04:06:23,1435310932,10/19/2014 04:05:54,false,clixsense,0.7233,15464647,USA,WA,Vancouver,24.21.91.86,10,Normal,percent02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201344.jpg
575325999,10/19/2014 04:07:31,1435311551,10/19/2014 04:06:16,false,instagc,0.5336,18386513,USA,TN,Knoxville,98.70.105.203,35,Hard,percent02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201344.jpg
575325999,10/19/2014 04:07:59,1435311886,10/19/2014 04:06:14,false,instagc,0.7186,18871611,USA,IN,Noblesville,73.176.62.236,23,Normal,percent02,https://dl.dropboxusercontent.com/u/82816032/test_gym/gym_percent/20141017_201344.jpg
